scenario,n_pairs,mean_advantage,ci_low,ci_high,median_advantage
actuator_drift,20,-0.08492165857991085,-0.2066139797427812,0.038473513066979326,-0.015863889593823455
composite,20,1.6425989029765833,0.05663137836471854,3.2417579953396074,0.06338950268536392
memory_lesion,20,-0.3578013431598178,-0.4327259142857896,-0.2820240084871101,-0.3968213574902153
sensor_corruption,20,0.2656970911270831,0.1348204750244274,0.40160538666537104,0.05542520827143038
stationary,20,-0.002300359885864145,-0.09009889776921574,0.0817108536680866,0.0
update_mutation,20,-0.10556690039706718,-0.21977157881843665,0.02337030220079669,-0.29622545812507717
